MuvBox;;;;;;
time;acc_y;acc_y-g;(acc_y-g)^2;média accy^2;rms;Velocidade
202.683747;1.061523438;0.068406111;0.004679396;;;-0.001967636
202.684792;1.024414063;0.031296736;0.000979486;;;-0.001456586
202.685835;0.958496094;-0.034621233;0.00119863;;;-0.001473594
202.686899;0.975097656;-0.01801967;0.000324709;;;-0.001748323
202.687946;1.009277344;0.016160017;0.000261146;;;-0.001757873
202.688998;0.9921875;-0.000929826;8.64577E-07;;;-0.001679284
202.690034;0.962402344;-0.030714983;0.00094341;;;-0.00184009
202.691081;0.998535156;0.00541783;2.93529E-05;;;-0.001970004
202.692131;1.022460938;0.029343611;0.000861048;;;-0.001790974
202.693181;0.99609375;0.002976424;8.8591E-06;;;-0.001624518
202.694231;0.981933594;-0.011183733;0.000125076;;;-0.001666788
202.695281;1.034179688;0.041062361;0.001686117;;;-0.001512905
202.696331;0.980957031;-0.012160295;0.000147873;;;-0.001364052
202.697381;0.994140625;0.001023299;1.04714E-06;;;-0.001421411
202.698431;1.047851563;0.054734236;0.002995837;;;-0.001134246
202.699481;0.962402344;-0.030714983;0.00094341;;;-0.00101054
202.700531;0.998046875;0.004929549;2.43004E-05;;;-0.001143342
202.701581;1.050292969;0.057175642;0.003269054;;;-0.000823485
202.70264;0.978027344;-0.015089983;0.000227708;;;-0.000604875
202.703684;0.9921875;-0.000929826;8.64577E-07;;;-0.00068691
202.704747;1.083007813;0.089890486;0.008080299;;;-0.000223067
202.705792;1.015136719;0.022019392;0.000484854;;;0.000350552
202.706835;1.010253906;0.01713658;0.000293662;;;0.000550871
202.707899;1.047363281;0.054245955;0.002942624;;;0.00092341
202.708946;1.006347656;0.01323033;0.000175042;;;0.001269937
202.709998;1.022949219;0.029831892;0.000889942;;;0.001492141
202.711034;0.990234375;-0.002882951;8.31141E-06;;;0.001629084
202.712081;0.934082031;-0.059035295;0.003485166;;;0.001311101
202.713297;0.996582031;0.003464705;1.20042E-05;;;0.000979651
202.714181;0.967285156;-0.02583217;0.000667301;;;0.000882665
202.715231;0.883789063;-0.109328264;0.011952669;;;0.000186555
202.716281;0.89453125;-0.098586076;0.009719214;;;-0.000884256
202.717331;0.934082031;-0.059035295;0.003485166;;;-0.001696045
202.718381;0.959472656;-0.03364467;0.001131964;;;-0.00217337
202.719431;0.937988281;-0.055129045;0.003039212;;;-0.002630577
202.720481;0.936523438;-0.056593889;0.003202868;;;-0.003205978
202.721531;1.037597656;0.04448033;0.0019785;;;-0.003268366
202.722581;0.976074219;-0.017043108;0.000290468;;;-0.003127057
202.72364;0.916992188;-0.076125139;0.005795037;;;-0.00361101
202.724684;1.021484375;0.028367049;0.000804689;;;-0.003855571
202.725747;0.979492188;-0.013625139;0.000185644;;;-0.003778706
202.726792;0.946777344;-0.046339983;0.002147394;;;-0.004086071
202.727835;0.999511719;0.006394392;4.08883E-05;;;-0.004290429
202.728899;1.029296875;0.036179549;0.00130896;;;-0.004068239
202.730565;1.017578125;0.024460799;0.000598331;;;-0.003572702
202.731153;1.025390625;0.032273299;0.001041566;;;-0.003409073
202.732379;0.979980469;-0.013136858;0.000172577;;;-0.003293996
202.733236;1.036132813;0.043015486;0.001850332;;;-0.003168398
202.734271;0.9921875;-0.000929826;8.64577E-07;;;-0.002954743
202.735201;0.992675781;-0.000441545;1.94962E-07;;;-0.002960999
202.736316;0.980957031;-0.012160295;0.000147873;;;-0.003029919
202.737474;0.975097656;-0.01801967;0.000324709;;;-0.003201341
202.738519;1.034667969;0.041550642;0.001726456;;;-0.003080728
202.739426;1.030273438;0.037156111;0.001380577;;;-0.002730575
